titel,pdf,urn,sou-nr,full_titel
1923:3,https://weburn.kb.se/sou/196/urn-nbn-se-kb-digark-1958699.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483886,1923:3,"Spannmålsmarknadssakkunnigas betänkande den 16 januari 1923.",
1923:4,https://weburn.kb.se/sou/197/urn-nbn-se-kb-digark-1960905.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483887,1923:4,"Betänkande med förslag till lag om församlingsstyrelse samt till bestämmelser om folkskoleärendenas överflyttning från den kyrkliga till den borgerliga kommunen m. m.",
1923:5,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1975067.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1559329,1923:5,"Skolkommissionens betänkande. 5",
1923:6,https://weburn.kb.se/sou/193/urn-nbn-se-kb-digark-1922332.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8220813,1923:6,"Utredning angående vissa spörsmål rörande städernas domstolsväsen",
1923:7,https://weburn.kb.se/sou/197/urn-nbn-se-kb-digark-1967759.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-435388,1923:7,"Statens ställning till järnvägarna i olika främmande länder redogörelse",
1923:8,https://weburn.kb.se/sou/199/urn-nbn-se-kb-digark-1989546.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-463236,1923:8,"Folkomröstningsinstitutet i Nordamerikas Förenta Stater",
1923:9,https://weburn.kb.se/sou/196/urn-nbn-se-kb-digark-1958719.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483889,1923:9,"Förslag till strafflag, allmänna delen, samt förslag till lag angående villkorlig frigivning jämte motiv",
1923:10,https://weburn.kb.se/sou/192/urn-nbn-se-kb-digark-1917363.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1667513,1923:10,"Folkomröstningsinstitutet i den schweiziska demokratien dess förutsättningar, former och funktioner",
1923:11,https://weburn.kb.se/sou/198/urn-nbn-se-kb-digark-1977573.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483890,1923:11,"Utredning rörande ombyggnad av Strömsholms kanal samt utsträckning av kanalen från Smedjebacken till Ludvika",
1923:12,https://weburn.kb.se/sou/197/urn-nbn-se-kb-digark-1960895.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483891,1923:12,"Betänkande och förslag angående det ecklesiastika arrendeväsendet",
1923:13,https://weburn.kb.se/sou/197/urn-nbn-se-kb-digark-1962031.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1711540,1923:13,"Vägkommissionens betänkanden. 4",
1923:14,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2040971.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483892,1923:14,"Betänkande med förslag till avtal rörande Stockholms bangårdsfråga",
1923:15,https://weburn.kb.se/sou/197/urn-nbn-se-kb-digark-1965793.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1590972,1923:15,"Försvarsrevisionens betänkande 3,betänkande och förslag rörande revision av Sveriges försvarsväsende.",
